residents,house_size_sqft,location_type,income_range,electricity_kwh,solar_usage,lpg_kg,induction_cooking,primary_transport,private_km_per_day,vehicle_fuel,carpool_shared,diet_type,nonveg_meals_per_week,waste_kg_per_week,recycle_compost,water_liters_per_month,monthly_co2_kg
3,1869.0,Semi-Urban,₹15k–₹30k,428.55,No,16.28,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,5.57,No,18790.0,499.67
5,632.0,Rural,₹15k–₹30k,389.43,No,18.17,No,Electric Vehicle,22.0,Electric,No,Vegetarian,0,4.94,Yes,13137.0,542.78
5,1589.0,Rural,₹30k–₹50k,442.82,Yes,13.11,Yes,Two-wheeler,26.0,Petrol,No,Non-Vegetarian,4,2.0,No,4100.0,595.96
1,681.0,Urban,<₹15k,526.24,No,5.32,Yes,Public Transport,0.0,None,No,Mixed,3,7.72,Yes,13506.0,539.37
4,634.0,Urban,>₹1L,323.05,No,20.64,No,Public Transport,2.0,None,No,Mixed,4,7.06,Yes,10913.0,490.63
4,1877.0,Urban,₹15k–₹30k,278.66,No,11.66,No,Two-wheeler,30.0,Petrol,No,Mixed,1,8.04,Yes,20887.0,550.11
5,569.0,Urban,<₹15k,238.1,No,20.07,No,Car,10.0,Petrol,No,Mixed,3,9.28,No,16808.0,492.48
1,892.0,Semi-Urban,₹30k–₹50k,422.29,No,19.01,Yes,Two-wheeler,25.0,Petrol,No,Vegetarian,0,6.93,Yes,8306.0,584.84
2,1576.0,Semi-Urban,<₹15k,359.52,No,15.45,Yes,Two-wheeler,32.0,Petrol,No,Vegetarian,0,8.4,Yes,14876.0,589.19
5,1202.0,Rural,₹30k–₹50k,252.96,No,11.86,No,Two-wheeler,9.0,Petrol,No,Vegetarian,0,3.33,Yes,16866.0,403.81
3,473.0,Semi-Urban,₹15k–₹30k,471.84,Yes,20.54,No,Public Transport,1.0,None,No,Mixed,3,7.13,Yes,16957.0,508.17
6,1969.0,Rural,₹30k–₹50k,401.23,No,17.49,No,Car,45.0,Petrol,No,Mixed,1,7.77,Yes,8631.0,779.9
5,2008.0,Semi-Urban,₹30k–₹50k,311.34,Yes,24.92,Yes,Bicycle/Walking,0.0,None,Yes,Mixed,3,2.0,No,7656.0,397.63
1,1528.0,Semi-Urban,₹50k–₹1L,246.32,No,14.76,No,Two-wheeler,32.0,Petrol,Yes,Vegetarian,0,8.27,Yes,9447.0,430.92
4,777.0,Rural,₹50k–₹1L,395.14,No,10.96,No,Two-wheeler,5.0,Petrol,No,Mixed,3,10.46,Yes,15453.0,538.42
2,1473.0,Semi-Urban,<₹15k,233.58,Yes,20.72,No,Two-wheeler,30.0,Petrol,Yes,Vegetarian,0,2.81,No,15403.0,385.03
5,873.0,Semi-Urban,₹30k–₹50k,534.82,No,12.56,Yes,Car,24.0,Diesel,No,Vegetarian,0,7.17,No,6188.0,763.61
5,959.0,Rural,>₹1L,286.22,No,10.19,No,Public Transport,3.0,None,Yes,Mixed,1,4.9,No,22569.0,428.11
5,1014.0,Rural,₹30k–₹50k,395.48,No,12.86,No,Two-wheeler,28.0,Petrol,Yes,Mixed,4,5.78,Yes,12535.0,623.02
1,1732.0,Rural,₹30k–₹50k,420.88,No,5.0,No,Car,34.0,Diesel,No,Vegetarian,0,2.0,No,17626.0,609.87
2,1179.0,Urban,₹50k–₹1L,89.36,No,13.97,Yes,Public Transport,1.0,None,No,Non-Vegetarian,5,12.28,No,12821.0,275.78
4,1261.0,Rural,₹50k–₹1L,380.75,No,17.28,Yes,Car,48.0,Petrol,Yes,Vegetarian,0,9.42,No,11424.0,673.96
6,1528.0,Semi-Urban,<₹15k,182.64,No,12.78,No,Two-wheeler,33.0,Petrol,Yes,Vegetarian,0,6.86,No,15698.0,470.07
5,1656.0,Semi-Urban,₹30k–₹50k,333.43,No,9.81,No,Public Transport,4.0,None,Yes,Vegetarian,0,10.09,No,9023.0,491.14
2,1885.0,Urban,>₹1L,162.43,Yes,8.99,No,Two-wheeler,19.0,Petrol,No,Non-Vegetarian,8,8.9,No,12983.0,361.26
6,705.0,Rural,>₹1L,237.46,Yes,16.51,No,Two-wheeler,31.0,Petrol,No,Mixed,3,4.59,Yes,10285.0,531.98
6,883.0,Urban,<₹15k,314.93,No,16.17,Yes,Two-wheeler,18.0,Petrol,No,Mixed,1,8.54,Yes,13495.0,563.47
6,1283.0,Urban,>₹1L,496.32,No,14.09,Yes,Two-wheeler,9.0,Petrol,No,Mixed,3,4.05,Yes,16229.0,653.95
2,1656.0,Rural,₹50k–₹1L,524.85,No,22.96,Yes,Bicycle/Walking,0.0,None,Yes,Mixed,4,10.73,Yes,7850.0,601.27
4,1280.0,Rural,>₹1L,247.4,No,9.14,Yes,Bicycle/Walking,0.0,None,No,Non-Vegetarian,5,3.51,Yes,9643.0,352.56
5,646.0,Semi-Urban,>₹1L,545.84,Yes,20.37,Yes,Public Transport,4.0,None,No,Mixed,4,5.45,No,10356.0,596.58
4,1490.0,Rural,₹30k–₹50k,336.36,Yes,10.64,No,Public Transport,3.0,None,No,Non-Vegetarian,5,7.81,No,8141.0,437.6
1,944.0,Rural,₹15k–₹30k,80.0,No,11.74,No,Car,12.0,Petrol,No,Mixed,3,2.0,Yes,9587.0,200.1
4,1011.0,Rural,₹50k–₹1L,444.07,Yes,16.55,Yes,Car,46.0,Petrol,No,Vegetarian,0,3.45,Yes,13664.0,668.4
4,1537.0,Semi-Urban,₹50k–₹1L,366.93,No,7.3,Yes,Two-wheeler,12.0,Petrol,No,Mixed,1,9.16,Yes,7456.0,515.06
4,1455.0,Urban,₹15k–₹30k,425.35,No,5.0,Yes,Two-wheeler,12.0,Petrol,No,Vegetarian,0,10.43,Yes,23185.0,562.88
4,1510.0,Urban,>₹1L,521.67,No,15.74,No,Bicycle/Walking,0.0,None,Yes,Mixed,3,8.1,Yes,10466.0,615.33
4,591.0,Urban,>₹1L,493.76,No,16.78,No,Electric Vehicle,49.0,Electric,No,Vegetarian,0,6.16,Yes,7574.0,669.11
2,885.0,Semi-Urban,₹30k–₹50k,162.01,No,14.08,No,Two-wheeler,13.0,Petrol,No,Non-Vegetarian,7,7.56,No,20023.0,360.85
2,1645.0,Urban,₹15k–₹30k,109.71,Yes,19.91,No,Two-wheeler,23.0,Petrol,No,Non-Vegetarian,8,8.57,No,15790.0,378.49
3,1024.0,Rural,₹50k–₹1L,171.85,No,16.75,Yes,Public Transport,2.0,None,No,Vegetarian,0,2.61,Yes,10148.0,278.56
3,1076.0,Urban,₹50k–₹1L,416.54,Yes,17.0,No,Two-wheeler,30.0,Petrol,No,Mixed,3,4.17,No,8105.0,580.51
2,742.0,Semi-Urban,<₹15k,333.79,Yes,16.95,Yes,Electric Vehicle,50.0,Electric,No,Vegetarian,0,4.97,Yes,9160.0,435.88
2,1042.0,Semi-Urban,<₹15k,459.09,No,17.33,No,Car,23.0,Petrol,Yes,Vegetarian,0,9.37,No,14629.0,619.67
6,1503.0,Rural,₹50k–₹1L,327.77,No,26.82,Yes,Car,16.0,Petrol,No,Mixed,3,6.46,No,14849.0,607.16
5,1438.0,Semi-Urban,₹50k–₹1L,229.33,No,19.58,No,Two-wheeler,31.0,Petrol,Yes,Mixed,4,4.92,Yes,18025.0,514.41
3,557.0,Rural,<₹15k,317.82,Yes,7.97,Yes,Car,53.0,Petrol,No,Mixed,4,5.04,Yes,16624.0,611.15
3,1700.0,Urban,>₹1L,418.59,No,6.55,No,Car,38.0,Petrol,No,Vegetarian,0,2.0,Yes,13189.0,629.84
2,2009.0,Semi-Urban,₹50k–₹1L,317.01,No,20.75,No,Bicycle/Walking,0.0,None,Yes,Vegetarian,0,2.68,Yes,14888.0,377.69
5,478.0,Urban,₹30k–₹50k,397.62,No,12.35,Yes,Car,35.0,Diesel,Yes,Mixed,2,6.43,No,15938.0,667.0
5,1243.0,Semi-Urban,₹15k–₹30k,310.24,No,18.57,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,12.13,Yes,8041.0,472.02
1,435.0,Rural,₹50k–₹1L,259.62,Yes,8.02,No,Two-wheeler,37.0,Petrol,No,Mixed,3,8.02,No,14224.0,471.34
3,1436.0,Semi-Urban,<₹15k,574.26,No,5.0,Yes,Two-wheeler,33.0,Petrol,No,Vegetarian,0,9.12,Yes,15526.0,766.35
2,1824.0,Rural,₹15k–₹30k,225.43,No,10.22,No,Public Transport,1.0,None,Yes,Non-Vegetarian,8,8.09,Yes,4999.0,347.69
5,921.0,Semi-Urban,₹50k–₹1L,262.89,No,15.24,Yes,Two-wheeler,27.0,Petrol,No,Mixed,2,5.08,No,12189.0,540.52
4,703.0,Urban,₹50k–₹1L,307.57,No,12.49,Yes,Bicycle/Walking,0.0,None,Yes,Mixed,2,3.78,Yes,14858.0,394.65
3,727.0,Urban,₹15k–₹30k,462.82,No,11.81,No,Car,48.0,Petrol,Yes,Mixed,2,8.66,Yes,15199.0,707.3
5,1385.0,Urban,₹30k–₹50k,423.18,No,15.11,No,Car,34.0,Petrol,No,Non-Vegetarian,8,8.51,Yes,17143.0,775.85
2,1708.0,Semi-Urban,>₹1L,366.16,No,19.46,Yes,Public Transport,1.0,None,Yes,Mixed,1,9.88,Yes,18705.0,474.35
1,2134.0,Urban,₹30k–₹50k,385.4,No,17.86,No,Car,34.0,Diesel,No,Vegetarian,0,5.39,Yes,9126.0,633.19
5,2019.0,Urban,₹50k–₹1L,592.33,No,23.37,No,Two-wheeler,8.0,Petrol,No,Mixed,2,7.29,No,5301.0,756.75
4,1658.0,Rural,<₹15k,529.12,Yes,9.26,No,Car,13.0,CNG,No,Vegetarian,0,7.95,No,22954.0,571.66
1,1837.0,Semi-Urban,<₹15k,293.67,Yes,12.09,No,Two-wheeler,13.0,Petrol,No,Mixed,3,5.06,Yes,12304.0,351.83
6,1635.0,Semi-Urban,₹15k–₹30k,203.37,No,10.47,No,Public Transport,2.0,None,No,Mixed,4,11.78,No,11179.0,454.99
2,545.0,Rural,₹15k–₹30k,152.96,No,17.58,No,Public Transport,4.0,None,No,Vegetarian,0,6.29,No,23413.0,289.27
3,1269.0,Semi-Urban,₹15k–₹30k,196.27,No,8.4,Yes,Two-wheeler,30.0,Petrol,No,Vegetarian,0,8.93,No,12362.0,460.22
5,1930.0,Rural,₹50k–₹1L,500.66,No,15.61,Yes,Car,34.0,Diesel,No,Mixed,2,3.63,No,14770.0,798.52
6,682.0,Urban,₹30k–₹50k,330.43,No,16.24,Yes,Two-wheeler,7.0,Petrol,No,Non-Vegetarian,8,2.18,Yes,19362.0,550.28
3,1574.0,Rural,₹15k–₹30k,263.58,No,7.75,No,Car,49.0,Diesel,No,Mixed,4,11.26,Yes,16990.0,687.8
1,1150.0,Semi-Urban,₹15k–₹30k,254.83,No,14.3,No,Two-wheeler,39.0,Petrol,No,Non-Vegetarian,7,4.81,Yes,9943.0,514.06
6,1232.0,Urban,>₹1L,327.96,Yes,15.58,No,Car,36.0,Petrol,No,Mixed,3,3.61,No,10254.0,614.12
3,1501.0,Urban,<₹15k,305.61,No,10.66,No,Bicycle/Walking,0.0,None,No,Mixed,2,5.66,No,14008.0,390.75
2,2179.0,Rural,>₹1L,323.45,Yes,15.96,No,Public Transport,4.0,None,No,Non-Vegetarian,7,10.39,Yes,14393.0,405.05
4,2109.0,Urban,>₹1L,218.72,No,21.46,No,Two-wheeler,38.0,Petrol,No,Non-Vegetarian,7,4.06,Yes,16637.0,585.28
5,783.0,Rural,<₹15k,303.42,No,16.34,No,Car,13.0,Petrol,No,Vegetarian,0,11.93,Yes,14222.0,528.08
3,1325.0,Urban,₹50k–₹1L,230.46,Yes,10.06,No,Public Transport,3.0,None,No,Vegetarian,0,9.44,No,5703.0,327.98
4,1724.0,Rural,>₹1L,325.48,No,20.66,Yes,Two-wheeler,26.0,Petrol,No,Non-Vegetarian,7,2.0,Yes,15136.0,586.49
2,984.0,Rural,₹50k–₹1L,325.49,No,19.2,Yes,Public Transport,1.0,None,Yes,Non-Vegetarian,6,12.75,No,9443.0,488.17
1,1785.0,Rural,>₹1L,392.62,No,17.82,Yes,Two-wheeler,9.0,Petrol,No,Vegetarian,0,8.57,No,9747.0,496.51
3,660.0,Semi-Urban,₹30k–₹50k,366.22,No,10.33,Yes,Car,38.0,Petrol,No,Non-Vegetarian,6,7.09,Yes,16738.0,652.21
2,2083.0,Semi-Urban,₹15k–₹30k,235.41,No,12.69,No,Two-wheeler,23.0,Petrol,No,Mixed,1,4.4,No,13836.0,425.43
3,1521.0,Rural,₹15k–₹30k,319.23,No,10.61,No,Two-wheeler,35.0,Petrol,No,Non-Vegetarian,5,8.51,Yes,14612.0,606.36
1,1840.0,Rural,<₹15k,273.84,Yes,14.0,No,Car,51.0,CNG,Yes,Vegetarian,0,6.2,Yes,14406.0,446.47
1,1474.0,Rural,₹50k–₹1L,173.44,No,18.67,Yes,Two-wheeler,12.0,Petrol,Yes,Mixed,4,5.99,No,13333.0,304.61
2,1541.0,Rural,>₹1L,289.49,No,11.15,Yes,Car,31.0,Diesel,Yes,Mixed,2,6.4,No,17013.0,494.5
2,893.0,Semi-Urban,₹15k–₹30k,411.76,No,18.24,No,Two-wheeler,38.0,Petrol,No,Mixed,1,8.29,Yes,11406.0,679.91
1,1876.0,Urban,₹30k–₹50k,534.25,No,13.29,Yes,Public Transport,0.0,None,No,Mixed,1,7.47,No,13707.0,572.36
1,1389.0,Urban,₹50k–₹1L,553.82,Yes,9.4,No,Electric Vehicle,55.0,Electric,Yes,Non-Vegetarian,5,2.62,No,16962.0,523.21
4,1263.0,Urban,₹15k–₹30k,220.43,No,9.28,Yes,Car,25.0,Diesel,No,Non-Vegetarian,6,5.45,No,14172.0,513.46
1,713.0,Rural,₹30k–₹50k,182.3,No,17.52,No,Electric Vehicle,33.0,Electric,No,Mixed,4,7.02,No,15995.0,351.68
5,506.0,Semi-Urban,₹15k–₹30k,270.73,No,5.08,No,Two-wheeler,33.0,Petrol,No,Non-Vegetarian,8,2.61,Yes,17076.0,581.75
6,629.0,Semi-Urban,₹50k–₹1L,450.78,Yes,17.78,Yes,Two-wheeler,34.0,Petrol,No,Vegetarian,0,5.45,Yes,18842.0,662.59
2,810.0,Semi-Urban,₹50k–₹1L,300.78,No,19.03,Yes,Car,10.0,Petrol,No,Mixed,3,3.27,Yes,10912.0,414.38
4,1944.0,Semi-Urban,₹30k–₹50k,374.78,No,19.28,Yes,Two-wheeler,25.0,Petrol,No,Non-Vegetarian,6,2.46,No,10108.0,616.61
4,1488.0,Semi-Urban,>₹1L,454.01,No,12.39,No,Car,56.0,Petrol,No,Mixed,4,8.8,No,18081.0,866.34
1,1324.0,Urban,>₹1L,312.53,No,15.57,No,Car,17.0,Petrol,No,Mixed,3,11.37,No,12736.0,499.47
5,1105.0,Urban,₹15k–₹30k,202.8,No,16.79,Yes,Two-wheeler,23.0,Petrol,No,Vegetarian,0,9.63,Yes,17075.0,479.02
3,1741.0,Semi-Urban,<₹15k,223.16,Yes,10.91,No,Car,21.0,Petrol,No,Mixed,1,10.52,Yes,14604.0,411.8
1,1222.0,Semi-Urban,<₹15k,522.42,Yes,8.67,Yes,Two-wheeler,35.0,Petrol,No,Mixed,3,8.12,Yes,19278.0,621.94
4,2163.0,Urban,₹30k–₹50k,119.17,No,14.09,No,Car,46.0,Petrol,Yes,Mixed,3,5.15,Yes,5788.0,429.41
3,1184.0,Semi-Urban,₹50k–₹1L,227.81,No,13.94,No,Public Transport,2.0,None,Yes,Mixed,3,12.24,No,18982.0,413.45
4,745.0,Urban,₹30k–₹50k,142.99,No,11.6,Yes,Electric Vehicle,53.0,Electric,Yes,Mixed,4,5.24,Yes,15281.0,357.64
2,2125.0,Rural,>₹1L,419.38,No,14.81,Yes,Two-wheeler,31.0,Petrol,No,Mixed,4,7.19,Yes,10501.0,635.74
2,1605.0,Semi-Urban,₹50k–₹1L,309.67,No,16.85,No,Two-wheeler,36.0,Petrol,No,Mixed,4,7.03,No,17049.0,595.64
4,1900.0,Urban,>₹1L,397.18,Yes,8.22,No,Two-wheeler,18.0,Petrol,Yes,Vegetarian,0,6.5,Yes,17753.0,465.33
6,1155.0,Urban,₹50k–₹1L,414.29,No,16.65,Yes,Electric Vehicle,45.0,Electric,No,Mixed,2,10.84,Yes,11829.0,670.68
2,1687.0,Urban,>₹1L,361.69,No,17.98,No,Public Transport,1.0,None,Yes,Vegetarian,0,5.08,Yes,24595.0,445.95
4,2119.0,Urban,>₹1L,267.51,No,13.9,No,Car,13.0,Diesel,No,Mixed,2,11.33,Yes,19985.0,497.73
6,1917.0,Semi-Urban,>₹1L,314.8,Yes,11.28,No,Two-wheeler,37.0,Petrol,No,Non-Vegetarian,8,4.9,Yes,12147.0,647.82
3,948.0,Urban,₹50k–₹1L,394.33,No,5.74,Yes,Car,45.0,Petrol,No,Mixed,1,9.68,Yes,10078.0,689.38
1,2157.0,Urban,>₹1L,237.58,No,12.97,No,Car,42.0,Diesel,No,Mixed,4,2.0,No,17246.0,539.41
1,1916.0,Rural,>₹1L,314.35,No,14.91,Yes,Two-wheeler,19.0,Petrol,No,Mixed,4,12.27,Yes,7849.0,491.65
5,2115.0,Semi-Urban,<₹15k,226.46,No,8.78,Yes,Car,43.0,Diesel,No,Non-Vegetarian,8,4.45,Yes,18345.0,660.25
2,1700.0,Semi-Urban,>₹1L,290.0,Yes,5.0,No,Car,33.0,Petrol,Yes,Mixed,1,5.89,Yes,13389.0,402.35
2,1213.0,Semi-Urban,<₹15k,253.53,No,5.12,Yes,Two-wheeler,12.0,Petrol,No,Non-Vegetarian,4,6.61,No,17973.0,384.82
4,592.0,Rural,₹30k–₹50k,316.39,No,16.39,No,Public Transport,1.0,None,No,Non-Vegetarian,7,6.72,No,12076.0,499.43
1,1605.0,Rural,<₹15k,293.59,No,22.21,No,Bicycle/Walking,0.0,None,No,Mixed,2,3.8,Yes,10754.0,353.19
2,1204.0,Semi-Urban,₹15k–₹30k,302.36,No,23.53,Yes,Two-wheeler,36.0,Petrol,Yes,Vegetarian,0,7.55,Yes,17150.0,523.21
6,577.0,Urban,₹30k–₹50k,456.32,No,9.08,Yes,Car,32.0,Petrol,No,Non-Vegetarian,5,7.14,Yes,14613.0,764.24
2,648.0,Rural,₹50k–₹1L,374.38,No,5.0,No,Two-wheeler,24.0,Petrol,No,Mixed,2,5.33,Yes,14909.0,524.15
5,905.0,Semi-Urban,<₹15k,427.01,Yes,7.94,No,Public Transport,0.0,None,Yes,Mixed,1,3.66,No,15244.0,455.7
5,821.0,Rural,₹30k–₹50k,341.82,No,17.61,Yes,Car,46.0,CNG,Yes,Vegetarian,0,10.57,No,15771.0,646.43
2,460.0,Rural,>₹1L,365.67,Yes,9.18,Yes,Car,36.0,Petrol,No,Vegetarian,0,5.58,No,18302.0,532.0
5,1546.0,Semi-Urban,>₹1L,334.27,Yes,16.13,No,Public Transport,0.0,None,Yes,Non-Vegetarian,5,7.04,No,18696.0,476.07
3,1066.0,Rural,>₹1L,328.82,No,24.05,Yes,Electric Vehicle,40.0,Electric,Yes,Vegetarian,0,2.17,Yes,11791.0,460.28
6,486.0,Rural,₹30k–₹50k,346.4,No,16.43,No,Two-wheeler,38.0,Petrol,Yes,Vegetarian,0,8.95,Yes,21035.0,637.19
4,416.0,Semi-Urban,>₹1L,248.54,Yes,17.17,No,Two-wheeler,24.0,Petrol,Yes,Mixed,4,9.64,No,12030.0,471.73
1,1925.0,Urban,<₹15k,440.16,No,14.37,No,Car,40.0,Diesel,Yes,Mixed,1,4.8,No,13742.0,636.73
3,2151.0,Semi-Urban,<₹15k,225.44,Yes,14.05,Yes,Car,22.0,Petrol,No,Non-Vegetarian,7,7.56,No,17419.0,444.53
3,1772.0,Semi-Urban,₹50k–₹1L,308.21,No,10.57,Yes,Bicycle/Walking,0.0,None,No,Vegetarian,0,2.0,Yes,15467.0,349.67
3,1388.0,Semi-Urban,>₹1L,587.26,Yes,9.64,Yes,Car,32.0,Petrol,Yes,Mixed,1,6.69,No,14787.0,637.46
4,1274.0,Rural,<₹15k,560.06,No,18.38,Yes,Two-wheeler,8.0,Petrol,No,Non-Vegetarian,6,6.32,Yes,10353.0,696.63
5,1861.0,Rural,<₹15k,412.51,No,16.72,Yes,Electric Vehicle,59.0,Electric,No,Non-Vegetarian,8,9.56,Yes,15051.0,718.84
1,1000.0,Semi-Urban,₹15k–₹30k,321.35,No,9.72,No,Public Transport,0.0,None,Yes,Vegetarian,0,11.25,No,12043.0,418.23
4,737.0,Semi-Urban,<₹15k,278.26,Yes,20.04,Yes,Bicycle/Walking,0.0,None,No,Mixed,1,6.72,Yes,11778.0,353.83
3,1312.0,Rural,>₹1L,532.23,No,12.68,No,Two-wheeler,32.0,Petrol,No,Vegetarian,0,5.6,Yes,17083.0,732.0
3,1983.0,Semi-Urban,₹50k–₹1L,169.19,Yes,16.95,Yes,Car,49.0,Petrol,Yes,Non-Vegetarian,7,3.13,Yes,15886.0,442.08
3,563.0,Semi-Urban,₹50k–₹1L,306.47,No,8.96,No,Two-wheeler,30.0,Petrol,No,Non-Vegetarian,5,9.4,Yes,13078.0,569.65
1,1615.0,Rural,₹50k–₹1L,353.11,No,20.7,No,Car,57.0,Diesel,No,Non-Vegetarian,8,4.01,Yes,9232.0,763.35
3,540.0,Rural,₹15k–₹30k,211.2,No,14.49,No,Car,29.0,Petrol,No,Non-Vegetarian,7,7.88,Yes,16671.0,504.55
3,1490.0,Rural,₹30k–₹50k,80.0,No,13.71,Yes,Car,33.0,CNG,Yes,Non-Vegetarian,6,8.08,Yes,18550.0,342.83
5,1096.0,Semi-Urban,₹15k–₹30k,484.61,Yes,15.67,No,Public Transport,2.0,None,No,Non-Vegetarian,4,6.45,Yes,21900.0,552.89
4,1112.0,Semi-Urban,₹30k–₹50k,127.9,No,14.59,No,Electric Vehicle,39.0,Electric,Yes,Non-Vegetarian,7,11.54,No,17984.0,411.04
5,1293.0,Semi-Urban,₹50k–₹1L,501.0,No,5.0,No,Bicycle/Walking,0.0,None,No,Vegetarian,0,6.59,No,13867.0,567.33
5,521.0,Urban,>₹1L,125.74,No,11.61,No,Public Transport,0.0,None,Yes,Non-Vegetarian,6,14.47,No,17291.0,407.36
6,585.0,Urban,₹15k–₹30k,273.0,No,16.97,Yes,Public Transport,4.0,None,No,Non-Vegetarian,8,5.32,No,17935.0,517.1
